"fid (see mrktc_generalinfo)","Unique Row ID (see mrktc_generalinfo)","Unique Row ID","1. What are the activities that you are doing in this market today?","If other, specify","Type of place (see mrktc_lkpsell_placetype)","If other specify","Name of place","Ward","District","3. What is your main reason for selling these sheep and/ or goats?","If other, specify","4. How were sheep/ goats transported to the market? (see mrktc_lkpsell_trans)","If other, specify","5. Do you also sell other animal species apart from sheep and goats?","If yes, out of all the species that you sell, which species do you sell the most?","If other, specify","Will you transport the sheep/ goats you are buying today?","Type of place (see mrktc_lkpplacetype)","If other, specify","Name of place","Ward","District","7. What is your main reason for buying these small ruminants?","If other, specify","8. How will you transport these small ruminants that you are buying (see mrktc_lkpsell_trans)","If other, specify","9. What criteria do you use to decide which small ruminants to buy?","If other, specify","10. What other species of animals do you buy apart from sheep and goats?","If other, specify","11. If the prices of sheep and goats increase for some reason e.g. a shortage of animals due to disease, will you still buy them?","If no, which other species will you consider instead?","If other, specify","If yes, how much of an increase in the current price of sheep and goat (unit price of live animal) will cause you to change your purchasing behaviour to another animal species","12. How many times in a month do you buy or sell sheep and /or goats in this market?","Unique Row Identifier (UUID)"
"1144652","1","1","4","","","","","","","","","","","","","","1","1","","Lukali","Lukali","Bahi","5","","1","","3 -66","Kwa kuipendaa","","","1","","","80000","1","673c1ea5-dc08-11ec-9416-9440c9ab47f0"
"1145138","1","1","-66","Kununua mbuzi/kondoo kwa ajili ya kuchinja hapa mnadani","1","","Mnkola","Ibihwa","Bahi","-66","Kuuza nyama ","1","","0","","","0","","","","","","-66","Nanunua mbuzi/kondoo na kuchinja hapa mnadani kwa ajili ya kuuza nyama","2","","1 3","","-66","Sinunui aina nyingine ya wanyama","1","","","","1","6dcd5dce-dc08-11ec-9416-9440c9ab47f0"
"1145139","1","1","1","","1","","Mnkola","Ibihwa","Bahi","2","","1","","0","","","","","","","","","","","","","","","","","","","","","","797b4b34-dc08-11ec-9416-9440c9ab47f0"
"1145140","1","1","1","","1","","Ibihwa","Ibihwa","Bahi","2","","1","","1","1 4","","","","","","","","","","","","","","","","","","","","","71cf5fcd-dc08-11ec-9416-9440c9ab47f0"
"1145141","1","1","2","","1","","Mpamantwa","Mpamantwa","Bahi","1","","1","","0","","","0","","","","","","-66","Nimekuja kuuza","1","","3 2","","-66","Hakuna","1","","","130000","1","6c0b4456-dc08-11ec-9416-9440c9ab47f0"
"1145142","1","1","4","","","","","","","","","","","","","","1","1","","Ilindi","Ilindi","Bahi","5","","1","","3 1","","1","","0","-66","Sitanunua","","1","6d76d2fd-dc08-11ec-9416-9440c9ab47f0"
"1145143","1","1","3","","1","","Mnkola","Ibihwa","Bahi","1 -66","Kununua nbuzi/kondoo na kuwapeleka kiwandani Kibaha","1","","0","","","1","2","","Kibaha kiwandani","Kibaha","Kibaha","1","","2","","3 1","","-66","Sinunui wanyama wengine","1","","","100000","1","76929439-dc08-11ec-9416-9440c9ab47f0"
"1145146","1","1","2","","3","","Mnkola","Ibihwa","Bahi","1","","-66","Nawakuta tu mnadani hapa hapa","0","","","0","","","","","","1","","-66","Sisafirishi","1 4 5","","-66","Hapana","0","4","","","1","675076eb-dc08-11ec-9416-9440c9ab47f0"
"1145147","1","1","1","","1","","Ibihwa","Ibihwa","Bahi","2","","1","","0","","","","","","","","","","","","","","","","","","","","","","757cab11-dc08-11ec-9416-9440c9ab47f0"
"1145148","1","1","1","","1","","Kintinku","Kintinku","Bahi","2","","1","","0","","","","","","","","","","","","","","","","","","","","","","6f4fc9ae-dc08-11ec-9416-9440c9ab47f0"
"1145149","1","1","4","","","","","","","","","","","","","","1","1","","Lamaiti","Lamaiti","Bahi","2","","2","","1 2 3 4","","-66","Hapana","0","-66","Hapana","","1","712a58e1-dc08-11ec-9416-9440c9ab47f0"
"1145150","1","1","1","","1","","Udimaa","Kintinku","Bahi","2","","1","","0","","","","","","","","","","","","","","","","","","","","","","6956f04f-dc08-11ec-9416-9440c9ab47f0"
"1145151","1","1","2","","1","","Ilindi","Ilindi","Bahi","1","","1","","1","1","","0","","","","","","1","","-66","Hapana sisafirishi","1 2 3","","1","","1","","","0","1","765e383f-dc08-11ec-9416-9440c9ab47f0"
"1145152","1","1","2","","1","","Mindolaa","Ilindi","Bahi","1","","-66","Nimewakuta hapa hapa  mnadani","0","","","0","","","","","","1","","-66","Sisafirishi","1 2 3 4","","-66","Hapana","1","","","0","1","6e92ec78-dc08-11ec-9416-9440c9ab47f0"
"1145153","1","1","4","","","","","","","","","","","","","","1","1","","Mnkola","Ibihwa","Bahi","5","","1","","1 2 3","","-66","Hapana","0","-66","Hapana sitanunua","","0","63c8768e-dc08-11ec-9416-9440c9ab47f0"
"1145154","1","1","1","","1","","Mkakatika","Mpamantwa","Bahi","-66","Nakuja kuuza kwaajili ya kupata ela ya kununua mbolea kwaajili ya kilimo","1","","1","1","","","","","","","","","","","","","","","","","","","","","73b6ee8c-dc08-11ec-9416-9440c9ab47f0"
"1145155","1","1","1","","1","","Mnkola","Mnkola","Bahi","2","","1","","0","","","","","","","","","","","","","","","","","","","","","","772eb908-dc08-11ec-9416-9440c9ab47f0"
"1145156","1","1","4","","","","","","","","","","","","","","1","1","","Mnkola","Ibihwa","Bahi","3","","1","","-66","Nambonyeza Tumbo kupima uzito na kilo","4","","1","","","90000","2","75b72945-dc08-11ec-9416-9440c9ab47f0"
"1145157","1","1","3","","-66","Nawatoa m8nada tofauti tofauti","","","","1","","-66","Mimi nakuja tu kununua mifugo na kusafirisha mikoani","1","1 4","","1","2","","Dar es salam","Pugu","Temeke","1","","2","","1 2 3","","1 4","","1","","","1e+6","1","6e1424fe-dc08-11ec-9416-9440c9ab47f0"
"1145158","1","1","1","","1","","Mnkola","Ibihwa","Bahi","2","","1","","0","","","","","","","","","","","","","","","","","","","","","","691760ee-dc08-11ec-9416-9440c9ab47f0"
"1145159","1","1","1","","1","","Mnkola","Ibihwa","Bahi","2 -66","Wakati mwingine nanunua na kuuza hapahapa","1","","1","4 1","","","","","","","","","","","","","","","","","","","","","6f8d4be4-dc08-11ec-9416-9440c9ab47f0"
"1145160","1","1","3","","1","","Mnkola","Ibihwa","Bahi","1","","1","","0","","","0","","","","","","-66","Nanunua na kuuza hapa mnadani","1","","-66","Naangalia kwa macho tu kama ni mzuri au kubwa itakayonipa faida","","","1","","","85000","1","762c9d0a-dc08-11ec-9416-9440c9ab47f0"
"1145161","1","1","1","","1","","MNkola","Ibihwa","Bahi","2","","1","","1","1 4","","","","","","","","","","","","","","","","","","","","","6465370f-dc08-11ec-9416-9440c9ab47f0"
"1145162","1","1","3","","1","","Mnkola","Ibihwa","Bahi","4 2 1 3","","","","0","","","1","2","","Kizota","Kizota","Dodoma mjini","1","","2","","1 2 3","","","","1","","","80000","4","28f1654b-dc16-11ec-9416-9440c9ab47f0"
"1145163","1","1","1","","1","","Ibihwa","Ibihwa","Bahi","2 4","","1","","0","","","","","","","","","","","","","","","","","","","","","","2de9d6e0-dc16-11ec-9416-9440c9ab47f0"
"1145164","1","1","1","","1","","Mnkola","Ibihwa","Bahi","3 2","","1","","1","","","","","","","","","","","","","","","","","","","","","","2f81391b-dc16-11ec-9416-9440c9ab47f0"
"1145165","1","1","2 3","","1","","Mkakatika","Mpamantwa","Bahi","2","","","","0","","","1","1","","Mkakatika","Mpamantwa","Bahi","1","","1","","1 2 3","","4","","0","","","","3","2844ed8a-dc16-11ec-9416-9440c9ab47f0"
"1145166","1","1","1","","1","","Mkakatika","Mpamantwa","Bahi","2","","1","","0","","","","","","","","","","","","","","","","","","","","","","26438c1c-dc16-11ec-9416-9440c9ab47f0"
"1145167","1","1","1","","1","","Ibihwa","Ibihwa","Bahi","2 5","","1","","0","","","","","","","","","","","","","","","","","","","","","","23aac8ba-dc16-11ec-9416-9440c9ab47f0"
"1145168","1","1","2","","3","","Mnkola","Ibihwa","Bahi","2","","","","0","","","0","","","","","","1","","","","1 3","","","","0","","","","1","2d725dfe-dc16-11ec-9416-9440c9ab47f0"
"1145169","1","1","1","","1","","Mindola","Ilindi","Bahi","5 2","","1","","0","","","","","","","","","","","","","","","","","","","","","","219b8db2-dc16-11ec-9416-9440c9ab47f0"
"1145585","1","1","1","","1","","Mkombola","Chigongwe","Dodoma mjini","2","","1","","0","","","","","","","","","","","","","","","","","","","","","","217afdc0-dc16-11ec-9416-9440c9ab47f0"
"1145586","1","1","3","","3","","Kigwe","Kigwe","Bahi","1 2","","2","","1","","","1","2","","Kibaha","Soga","Kibaha","1","","2","","1 2 3 4 5","","1","","0","1","","","6","2cd6bef6-dc16-11ec-9416-9440c9ab47f0"
"1145587","1","1","2","","1","","Kigwe","Kigwe","Bahi","2","","","","0","","","0","","","","","","1","","-66","Siondoki na mifugo","1 2 3","","","","0","","","","2","265d8c28-dc16-11ec-9416-9440c9ab47f0"
"1145588","1","1","1","","1","","Kimendeli","Chikola","Bahi","2","","1","","0","","","","","","","","","","","","","","","","","","","","","","2145ba6b-dc16-11ec-9416-9440c9ab47f0"
"1145589","1","1","1","","1","","Mhurugano","Chikola","Bahi","1 2","","1","","0","","","","","","","","","","","","","","","","","","","","","","27f9b7e1-dc16-11ec-9416-9440c9ab47f0"
"1145590","1","1","1","","1","","Mpinga","Kigwe","Bahi","2 5","","1","","0","","","","","","","","","","","","","","","","","","","","","","2cb0c71f-dc16-11ec-9416-9440c9ab47f0"
"1145591","1","1","1","","1","","Bahi","Bahi","Bahi","2","","1","","0","","","","","","","","","","","","","","","","","","","","","","2543190a-dc16-11ec-9416-9440c9ab47f0"
"1145592","1","1","1","","1","","Majili","Sasagila","Manyoni","2 1","","1","","0","","","","","","","","","","","","","","","","","","","","","","268c58c4-dc16-11ec-9416-9440c9ab47f0"
"1145593","1","1","3","","3","","Kigwe","Kigwe","Bahi","1","","-66","Wamefikishwa na wafugaji toka sehemu tofauti tofauti","0","","","1","3","","Kigwe","Kigwe","Bahi","1","","2","","1 3 2","","","","0","","","","4","295ea3f4-dc16-11ec-9416-9440c9ab47f0"
"1145594","1","1","3","","3","","Kigwe","Kigwe","Bahi","1 2","","","","0","","","1","1","","Kibaha","Soga","Kibaha","1","","2","","1 2 3","","","","0","","","","10","28988b6c-dc16-11ec-9416-9440c9ab47f0"
"1145595","1","1","4","","","","","","","","","","","","","","1","1","","Chikola","Chikola","Bahi","5","","1","","1 2 3","","","","0","","","","1","240014b3-dc16-11ec-9416-9440c9ab47f0"
"1145596","1","1","3","","3","","Kigwe","Kigwe","Bahi","1","","2","","1","","","1","2","","Kibaha","Soga","Kibaha","1","","2","","1 3","","1","","0","1","","","4","2112e08d-dc16-11ec-9416-9440c9ab47f0"
"1145597","1","1","3","","3","","Kigwe","Kigwe","Bahi","1","","2","","0","","","1","3","","Kibaha","","Kibaha","1","","2","","5 1 2","","","","0","","","","24","2db75f21-dc16-11ec-9416-9440c9ab47f0"
"1145598","1","1","4","","","","","","","","","","","","","","1","1","","Msembeta","Chigongwe","Dodoma mjini","5","","1","","1 3 2","","","","0","","","","1","22109728-dc16-11ec-9416-9440c9ab47f0"
"1145599","1","1","1","","1","","Makanda","Makanda","Manyoni","3 2","","1","","0","","","","","","","","","","","","","","","","","","","","","","2fc31365-dc16-11ec-9416-9440c9ab47f0"
"1145623","1","1","3","","1","","Kigwe","Kigwe","Bahi","1","","-66","Nimewakuta hapa mnadani","0","","","1","2","","Dodoma mjini","Kizota","Dodoma mjini","6","","2","","1 3","","-66","Sinunui wanyama wengine","0","-66","Sitanunua","","1","3d5ac7cc-dc0e-11ec-9416-9440c9ab47f0"
"1145624","1","1","1","","1","","Chigongwe","Chigongwe","Dodoma mjini","2","","1","","0","","","","","","","","","","","","","","","","","","","","","","411d0ff3-dc0e-11ec-9416-9440c9ab47f0"
"1145625","1","1","1","","1","","Mpinga","Mpinga","Bahi","2","","1","","0","","","","","","","","","","","","","","","","","","","","","","484e065a-dc0e-11ec-9416-9440c9ab47f0"
"1145626","1","1","3","","1","","Kigwe","Kigwe","Bahi","1","","-66","Nimewanunua hapahapa mnadani","1","1","","0","","","","","","1","","-66","Nauza hapahapa mnadani","1 3 2","","1","","1","","","","2","397408a5-dc0e-11ec-9416-9440c9ab47f0"
"1145627","1","1","3","","1","","Kigwe","Kigwe","Bahi","1","","-66","Nimewanunua hapa mnadani","0","","","1","2","","Pugu","Pugu","Kibaha","1","","2","","1 3","","-66","Hakuna","1","","","","2","46e5aaf7-dc0e-11ec-9416-9440c9ab47f0"
"1145628","1","1","4","","","","","","","","","","","","","","1","1","","Mzogole","Mpinga","Bahi","5","","1","","5 1 3","","1","","1","","","80000","3","44f0f786-dc0e-11ec-9416-9440c9ab47f0"
"1145629","1","1","3","","1","","Kigwe","Kigwe","Bahi","1","","-66","Nimewanunua hapahapa mnadani","0","","","1","3","","Pugu","Pugu","Kibaha","1","","2","","1 3 2","","-66","Hakuna","0","-66","Sitanunua mifugo wengine","","1","4060bb8e-dc0e-11ec-9416-9440c9ab47f0"
"1145630","1","1","2","","1","","Kigwe","Kigwe","Bahi","1","","1","","0","","","0","","","","","","1","","-66","Sisafirishi nauza hapahapa mnadani","1 2 3","","-66","Hakuna","1","","","","2","437b44bb-dc0e-11ec-9416-9440c9ab47f0"
"1145631","1","1","4","","","","","","","","","","","","","","1","1","","Msembeta","Msembeta","Dodoma mjini","5","","-66","Bodaboda","1 3","","-66","Sinunui","0","-66","Sitanunua","","1","38bbd38b-dc0e-11ec-9416-9440c9ab47f0"
"1145632","1","1","2","","1","","Kigwe","Kigwe","Bahi","1","","1","","1","1","","0","","","","","","1","","-66","Sisafirishi nauza hapahapa mnadani","1 3","","-66","Hamna","1","","","","2","4469ac00-dc0e-11ec-9416-9440c9ab47f0"
"1145635","1","1","2","","1","","Kigwe","Kigwe","Bahi","1","","-66","Nimenunua hapahapa mnadani kwa mfugaji","0","","","0","","","","","","1","","-66","Sisafirishi nauza hapahapa mnadani","1 3","","-66","Hakuna","1","","","","1","3650b3e3-dc0e-11ec-9416-9440c9ab47f0"
"1145636","1","1","4","","","","","","","","","","","","","","0","","","","","","6","","1","","-66","Kanenepa na uzito tu","","","1","","","200000","4","400999fe-dc0e-11ec-9416-9440c9ab47f0"
"1145637","1","1","2","","3","","Kigwe","Kigwe","Bahi","2","","-66","Nanunua na kuwauzia watu hapa","0","","","0","","","","","","-66 1","Nanunua na kuwauzia wengine kwa bei tofauti na niliyonunua","-66","Kazi yangu ninanunua na kuuza kwa matajiri hivyo naludi bila mfugo wowote","-66","Uzito wa mbuzi au kondoo ndipo tunamchukua4","","","","","","","4","395a2c68-dc0e-11ec-9416-9440c9ab47f0"
"1145638","1","1","2","","1","","Kisasa","Makuru","Bahi","2","","-66","Nanunua na kuwauza hela napata nkwa bosi ninayemkusanyia","0","","","1","2","","Dar es salaam","","","1","","2","","-66","Uzito","","","1","","","200000","1","4586d72e-dc0e-11ec-9416-9440c9ab47f0"
"1145639","1","1","1","","1","","Lugala","Mbalaawala","Bahi","1","","1","","1","1","","","","","","","","","","","","","","","","","","","","","3fcaa38b-dc0e-11ec-9416-9440c9ab47f0"
"1145640","1","1","3","","1","","Mbalawawala","Mbalawala","Bahi","2","","1","","0","","","0","","","","","","5","","1","","-66","Namwangalia kama ana mafuta ya kutosha lakini kama ni kuchinja na kama ni kuuza naangalia uzito na ukubwa","1","","0","1","","","4","3865cfcb-dc0e-11ec-9416-9440c9ab47f0"
"1145641","1","1","4","","","","","","","","","","","","","","1","1","","Ibihwa","Ibihwa","Bahi","2","","1","","4 5","","-66","Hapana","1","","","100000","4","3bb3fc50-dc0e-11ec-9416-9440c9ab47f0"
"1145642","1","1","3","","1","","Ibihwa","Ibihwa","Bahi","6","","1","","0","","","1","1","","Ibihwa","Ibihwa","Bahi","2","","1","","-66","Naangali uzuri wa mbuzi 4","1","","","","","","4","48185f62-dc0e-11ec-9416-9440c9ab47f0"
"1145643","1","1","1","","1","","Nkulugano","Chikola","Bahi","2","","1","","0","","","","","","","","","","","","","","","","","","","","","","3cb0b136-dc0e-11ec-9416-9440c9ab47f0"
"1145644","1","1","4","","","","","","","","","","","","","","1","1","","Kigwe","Kigwe","Bahi","6","","1","","1 6","","","","0","","","","4","4443a89b-dc0e-11ec-9416-9440c9ab47f0"
"1145645","1","1","3","","3","","Kigwe","Kigwe","Bahi","2","","-66","Nanunua na kuuza hivyo sirudi na mfugo wowote ule","0","","","0","","","","","","1","","-66","Nanunua tu na na wauza narudi pasipo kuwa na mfugo wowote","3","","","","0","","","","","46b7290c-dc0e-11ec-9416-9440c9ab47f0"
"1145646","1","1","1","","1","","Chimendeli","","Bahi","1","","1","","0","","","","","","","","","","","","","","","","","","","","","","37dc7600-dc0e-11ec-9416-9440c9ab47f0"
"1145647","1","1","3","","3","","Kigwe","Kigwe","Bahi","1","","-66","Nanunua na kuuza tu hapa mnadani nyumbani narudi na chakula na pesa sio mifugo","0","","","0","","","","","","1","","2","","-66","Uzito na uzuri wa mbuzi","","","1","","","200000","4","3b639f26-dc0e-11ec-9416-9440c9ab47f0"
"1145648","1","1","1","","1","","Mpinga","Kigwe","Bahi","2","","1","","0","","","","","","","","","","","","","","","","","","","","","","43be22d6-dc0e-11ec-9416-9440c9ab47f0"
"1145649","1","1","1","","1","","Mpinga","Kigwe","Kigwe","2","","1","","0","","","","","","","","","","","","","","","","","","","","","","3913c4dd-dc0e-11ec-9416-9440c9ab47f0"
"1145650","1","1","1","","1","","Chimendeli","","Bahi","6","","1","","0","","","","","","","","","","","","","","","","","","","","","","48047d62-dc0e-11ec-9416-9440c9ab47f0"
"1145651","1","1","4","","","","","","","","","","","","","","1","2","","Dodoma","Nala","Dodoma mjini","5","","2","","1 2 3 4","","4","","0","4","","","","3be98545-dc0e-11ec-9416-9440c9ab47f0"
"1145652","1","1","2","","3","","Kigwe","Kigwe","Bahi","1","","-66","Sisafirishi  nauzia wafanyabiashara wakubwa","0","","","0","","","","","","1","","-66","Sisafirishi ","1 2 3 4","","","","","","","","","410c24d0-dc0e-11ec-9416-9440c9ab47f0"
"1145653","1","1","1","","1","","Ilindi","Ilindi","Bahi","2","","1","","1","","","","","","","","","","","","","","","","","","","","","","3cc6d4d1-dc0e-11ec-9416-9440c9ab47f0"
"1145654","1","1","2","","1","","Nala","Nala","Dodoma mjini","1","","1","","0","","","0","","","","","","1","","-66","Sisafirishi","1 2 3 4","","-66","Hapana","0","-66","Hapana","","2","417386d9-dc0e-11ec-9416-9440c9ab47f0"
"1145655","1","1","1","","1","","Kigwe","Kigwe","Bahi","2","","1","","0","","","","","","","","","","","","","","","","","","","","","","3aa0357a-dc0e-11ec-9416-9440c9ab47f0"
"1145656","1","1","1","","1","","Kigwe","Kigwe","Bahi","2","","1","","1","4","","","","","","","","","","","","","","","","","","","","","3efa6961-dc0e-11ec-9416-9440c9ab47f0"
"1145657","1","1","1","","1","","Bahi","Bahi","Bahi","2","","1","","0","","","","","","","","","","","","","","","","","","","","","","3e7ba5dc-dc0e-11ec-9416-9440c9ab47f0"
"1145658","1","1","1","","1","","Kigwe","Kigwe","Bahi","2 3 4","","1","","1","4","","","","","","","","","","","","","","","","","","","","","4308918f-dc0e-11ec-9416-9440c9ab47f0"
"1145659","1","1","2","","3","","Kigwe","Kigwe","Bahi","1","","-66","Nimewakuta  hapa hapa mnadani nanua nauzia wafanya biashara wakubwa wanaotoka mjini ","0","","","0","","","","","","1","","-66","Sisafirishi mimi ni dalali tu","1 2 3 4","","","","0","4","","","2","47dd0038-dc0e-11ec-9416-9440c9ab47f0"
"1145660","1","1","4","","","","","","","","","","","","","","1","1","","Ilindi","Ilindi","Bahi","5","","-66","Pikipiki","4 2 3","","4","","0","4","","","0","3c1c9156-dc0e-11ec-9416-9440c9ab47f0"
"1145661","1","1","1","","1","","Nala","Nala","Dodoma","2 3 4","","2","","1","1","","","","","","","","","","","","","","","","","","","","","42d85b24-dc0e-11ec-9416-9440c9ab47f0"
"1145662","1","1","4","","","","","","","","","","","","","","1","1","","Msembeta","Kigwe","Bahi","5","","1","","2 3 4","","4 1","","0","4","","","0","41badc4c-dc0e-11ec-9416-9440c9ab47f0"
"1145663","1","1","3","","3","","Ibihwa","Ibihwa","Bahi","1","","2","","0","","","1","-66","Napeleka mnada mwingine unaofuataa","Dodoma","","Chamwino, Bahi","1","","2","","1 3 4 5 2","","-66","Hapana","1","","","500000","2","366864b2-dc0e-11ec-9416-9440c9ab47f0"
"1145664","1","1","1","","1","","Mpinga","Kigwe","Bahi","2","","1","","1","1 4","","","","","","","","","","","","","","","","","","","","","40b3682f-dc0e-11ec-9416-9440c9ab47f0"
"1145665","1","1","4","","","","","","","","","","","","","","1","1","","Msembeta","Msembeta","Dodoma","5","","1","","3 2 4","","1","","0","4","","","0","3d101b12-dc0e-11ec-9416-9440c9ab47f0"
"1146621","1","1","3","","3","","Lalago","Lalago","Maswa","2 4","","1","","0","","","1","3","","Lalago","Lalago","Maswa","6","","1","","2 3 -66","Hakuna","-66","","1","","","15000","4","4291cc7a-dc0e-11ec-9416-9440c9ab47f0"
"1146622","1","1","1","","3","","Lalago","Lalago","Maswa","2 4 3 5","","1","","0","","","","","","","","","","","","","","","","","","","","","","361b1161-dc0e-11ec-9416-9440c9ab47f0"
"1146623","1","1","1","","1","","Mwandoya","Mwandoya","Meatu","2 4","","1","","1","-66","Hakuna","","","","","","","","","","","","","","","","","","","","45265f51-dc0e-11ec-9416-9440c9ab47f0"
"1146624","1","1","2","","1","","Lalago","Lalago","Maswa","2 4","","1","","1","1","","1","3","","Lalago","Lalago","Maswa","1","","1","","1 2","","1","","1","","","10000","4","36c5110a-dc0e-11ec-9416-9440c9ab47f0"
"1146625","1","1","1","","1","","Mwakidiga","Lalago","Maswa","2 4","","1","","1","","","","","","","","","","","","","","","","","","","","","","3f3e6334-dc0e-11ec-9416-9440c9ab47f0"
"1146626","1","1","4","","","","","","","","","","","","","","1","1","","Lalago","Lalago","Maswa","5","","1","","1 2","","","","1","","","10000","4","409ddb0e-dc0e-11ec-9416-9440c9ab47f0"
